Date,Start Time,End Time,Game,Platform,Players,Duration (minutes),Notes
2023-01-01,19:00,20:15,"Mario Kart 8 Deluxe","Nintendo Switch","John,Mary,Mike,Tina",75,"Kicked off the new year with family racing; Tina won most matches!"
2023-01-02,18:00,19:00,"Carcassonne","Board Game","John,Mike,Tina",60,"Practiced tile-laying strategy; Mike enjoyed building long roads."
2023-01-03,18:30,19:45,"Catan","Board Game","John,Mike,Tina",75,"John taught resource-trading strategies; Mike pulled off a surprise win."
2023-01-04,20:00,21:15,"Among Us","PC","John,Mary,Mike",75,"Family took turns as Impostor; much laughter and semi-friendly accusations."
2023-01-05,20:00,21:15,"Overcooked! 2","Nintendo Switch","Mary,Mike,Tina",75,"Chaotic co-op cooking session; lots of shouting and laughter."
2023-01-06,19:30,20:30,"Disney Villainous","Board Game","John,Mary,Mike,Tina",60,"Each tried different Disney villains; Tina chose Maleficent and nearly won."
2023-01-07,14:00,15:30,"Just Dance","Nintendo Switch","John,Mary,Tina",90,"Dancing competition—Tina nailed the choreo from her ballet lessons."
2023-01-08,16:00,17:20,"Minecraft","PC","John,Mike",80,"Father-son project building a virtual overpass, matching John's real job."
2023-01-09,19:00,20:00,"Candy Land","Board Game","Tina,Mike",60,"Simple race-to-finish board game; perfect for a school-night wind-down."
2023-01-10,19:30,20:30,"Ticket to Ride","Board Game","John,Mary,Mike,Tina",60,"Fun map-building strategy; Mary completed longest route for the win."
2023-01-11,18:00,19:30,"Super Mario Party","Nintendo Switch","John,Mary,Mike,Tina",90,"Mini-game madness; Mike snagged bonus stars at the end for a comeback."
2023-01-12,17:00,18:00,"Ratchet & Clank: Rift Apart","PS5","John,Mike",60,"Quick father-son session exploring alien worlds; Mike loved the gadgets."
2023-01-13,20:00,21:30,"Pandemic","Board Game","John,Mary,Mike,Tina",90,"Cooperative challenge; the family worked together to contain outbreaks."
2023-01-14,19:00,20:30,"Monopoly","Board Game","Mary,Mike,Tina",90,"Classic family night; ended peacefully before dinner, no monopoly meltdowns!"
2023-01-15,20:00,21:15,"Overcooked! 2","Nintendo Switch","John,Mary,Mike,Tina",75,"Second round of frantic cooking—improved teamwork, fewer kitchen fires."
2023-01-16,18:30,19:45,"Exploding Kittens","Card Game","Mary,Mike,Tina",75,"Hilarious reactions each time a kitten exploded; Mary remained undefeated."
2023-01-17,18:45,19:45,"Stardew Valley","PC","Mary,Tina",60,"Mother-daughter farm time; Tina loved caring for pixel animals."
