Timestamp,Device Name,Location,Action,Trigger,Notes
2023-01-01 07:02:00,Smart Thermostat,Living Room,"Temp set to 72°F","Manual by John","New Year morning, John needed extra warmth."
2023-01-01 13:21:00,Smart Speaker,Kitchen,"Music played: 'Celebration' by Kool & The Gang","Voice Command by Mary","She wanted a festive track while prepping lunch."
2023-01-01 19:35:00,Security Camera,Front Porch,"Motion detected","Automated by Motion Sensor","Neighbor dropped off cookies for the family."
2023-01-02 07:13:00,Smart Light,Hallway,"Light turned on at 40%","Scheduled","Soft glow for early school-day wake-up."
2023-01-02 12:52:00,Smart Lock,Back Door,"Door unlocked","App Control by Mary","She forgot a bag of groceries in the car."
2023-01-02 19:40:00,Smart Vacuum,Family Room,"Cleaning cycle started","Voice Command by John","Wanted a quick tidy after dinner mess."
2023-01-03 07:05:00,Smart Doorbell,Front Door,"Video streaming started","Manual by Tina","She checked who rang the bell—just the mailman."
2023-01-03 13:48:00,Smart Speaker,Dining Room,"Music played: 'P.Y.T.' by Michael Jackson","Voice Command by Mike","Jamming while finishing his lunch break."
2023-01-03 20:15:00,Smart TV,Living Room,"Streaming app launched","Manual by Mary","Family movie night with leftover popcorn."
2023-01-04 07:16:00,Smart Thermostat,Kitchen,"Temp set to 70°F","Manual by John","House felt stuffy after overnight cooking."
2023-01-04 12:30:00,Security Camera,Driveway,"Motion detected","Automated by Motion Sensor","Delivery truck dropping new dance gear for Tina."
2023-01-04 19:50:00,Smart Light,Living Room,"Lights turned off","Voice Command by Mary","Movie time—everyone cozy on the couch."
2023-01-05 07:03:00,Smart Lock,Front Door,"Door locked","Manual by Mike","He rushed out for soccer practice, then remembered security!"
2023-01-05 13:42:00,Smart Fridge,Kitchen,"Door opened","Manual by Mary","She inventoried groceries for tonight’s dinner."
2023-01-05 20:11:00,Smart Speaker,Tina's Bedroom,"Music played: 'Swan Lake' excerpt","Voice Command by Tina","Practicing ballet with classical tunes."
2023-01-06 07:19:00,Smart Thermostat,Hallway,"Temp set to 68°F","Scheduled","Morning energy-saving cycle in cooler weather."
2023-01-06 13:33:00,Smart Light,Backyard,"Light turned on at 100%","Manual by John","Checking garden tools in daylight overshadowed by the house."
2023-01-06 20:56:00,Smart Vacuum,Living Room,"Cleaning cycle paused","Voice Command by Mary","Paused mid-episode of a family show—too noisy!"
2023-01-07 07:07:00,Smart Alarm,Garage,"Alarm triggered","Automated by Motion Sensor","Mike forgot to disable it before grabbing sports gear."
2023-01-07 12:12:00,Smart Speaker,Kitchen,"Music played: 'Uptown Funk' by Bruno Mars","Voice Command by Mike","His hype song for weekend soccer tournaments."
2023-01-07 19:30:00,Smart Doorbell,Front Door,"Video streaming started","Voice Command by John","He checked if pizza delivery had arrived."
2023-01-08 07:24:00,Security Camera,Backyard,"Motion detected","Automated by Motion Sensor","Family dog Spot chasing early-morning squirrels."
2023-01-08 13:57:00,Smart Light,Dining Room,"Light turned off","Manual by Mary","Sunlit lunch—natural daylight was enough."
2023-01-08 20:03:00,Smart Thermostat,Living Room,"Temp set to 74°F","Voice Command by Tina","She claimed to be freezing during evening dance practice."
2023-01-09 07:10:00,Smart Speaker,Mike's Bedroom,"Alarm triggered: 'School Day'","Scheduled","Mike woke up singing along to a pop melody."
2023-01-09 12:29:00,Smart Lock,Garage Door,"Door unlocked","App Control by John","He forgot some tools for the overpass site."
2023-01-09 19:42:00,Smart TV,Family Room,"Streaming app closed","Manual by Mary","Kids had bedtime; no more cartoons."
2023-01-10 07:14:00,Smart Fridge,Kitchen,"Door opened","Manual by Tina","Searching for quick breakfast—milk and cereal."
2023-01-10 13:55:00,Smart Light,Hallway,"Light turned on at 70%","Voice Command by John","Needed bright light to sort mail on the console table."
2023-01-10 19:27:00,Smart Lock,Front Door,"Door locked","Manual by Mary","Wrapping up the evening—nightly security routine."
2023-01-11 07:09:00,Smart Vacuum,Living Room,"Cleaning cycle started","Scheduled","Midweek routine—keeps pet hair under control."
2023-01-11 12:48:00,Security Camera,Front Porch,"Motion detected","Automated by Motion Sensor","Mary’s friend arrived for lunch date, waved at camera."
2023-01-11 19:16:00,Smart Thermostat,Family Room,"Temp set to 69°F","Manual by John","Kids ran around; place heated up quickly."
2023-01-12 07:00:00,Smart Light,Kid's Bathroom,"Lights turned on at 100%","Manual by Tina","Bright wake-up call for early morning dance stretches."
